DataYear,Adult Education,Bank Branch,Bowling Alley,College/University,Convenience Store without Gas Station,Convention Center,Courthouse,Data Center,Distribution Center,Enclosed Mall,Energy/Power Station,Financial Office,Fire Station,Fitness Center/Health Club/Gym,Food Service,Hospital,Hospital (General Medical & Surgical),Hotel,Ice/Curling Rink,Indoor Arena,K-12 School,Laboratory,Large Office,Library,Lifestyle Center,Low-Rise Multifamily,Mailing Center/Post Office,Manufacturing/Industrial Plant,Medical Office,Mixed Use Property,Movie Theater,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),Museum,Non-Refrigerated Warehouse,Office,Other,Other - Education,Other - Entertainment/Public Assembly,Other - Lodging/Residential,Other - Mall,Other - Public Services,Other - Recreation,Other - Restaurant/Bar,Other - Services,Other - Technology/Science,Other - Utility,Other/Specialty Hospital,Outpatient Rehabilitation/Physical Therapy,Parking,Performing Arts,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Police Station,Pre-school/Daycare,Prison/Incarceration,Refrigerated Warehouse,Residence Hall,Residence Hall/Dormitory,Residential Care Facility,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Senior Living Community,Small- and Mid-Sized Office,Social/Meeting Hall,Stadium (Open),Strip Mall,Supermarket / Grocery Store,Supermarket/Grocery Store,Transportation Terminal/Station,University,Urgent Care/Clinic/Other Outpatient,Vehicle Dealership,Vehicle Repair Services,Warehouse,Wholesale Club/Supercenter,Worship Facility
2015,3105001.0,1032935.0,,25306231.181818184,,77164568.0,53332648.0,115261676.0,3399227.8936170214,,,2197723.0,3215953.0,6748444.0,278741.0,,134516130.66666666,13881394.5,,,3039392.9491525423,23547163.0,,6420225.333333333,19576462.0,,,1480924.3333333333,11791869.378378378,7225617.541666667,2844380.0,4395510.0,3863772.0,2239915.6666666665,5707249.4,1574187.3154761905,8035787.583908046,10501633.728395062,5788386.5,12008020.375,1863521.6,20478458.333333332,4153939.0,6839231.952380952,,3615770.0,,2046914.0,6250155.0,,7048150.928571428,1952339.0,2277316.0,12051984.0,1957356.0,,3340927.923076923,,2062280.3636363635,8331004.0,4975135.7272727275,5007838.989130435,883828.4074074074,,12420345.266666668,,1763262.875,,10257157.6,,10053704.655172413,,,25882275.5,1525487.0,1371448.0,,,1183579.5820895522
2016,,635372.0,,,,,,,2405360.3325566035,15334843.0,,,,,,141546994.4625,,12091439.069166666,,,2867466.839460784,26293127.6,17514901.57618343,,,2887768.25,,1055162.0,11971658.634615384,12030015.514386727,,,,,,532134.0,2117870.75,9210307.319395935,,,,,,6940582.5,,,,,,,10634291.0,,,,,,3719428.078125,3810722.5446428573,,,5263898.057291667,4961471.5386047065,932172.5754735714,11517288.325,3360849.0,2661260.883417832,,,,10097870.559375,13970897.0,,57468039.225547835,,,,1977034.3228535675,,1202896.3106913045
2017,3721929.0,1188710.5,,19259104.5,,77866936.0,21618256.0,119038773.33333333,2772163.404761905,13088010.0,,4162176.3333333335,5021773.333333333,7656567.666666667,296043.0,,127697068.0,12516815.223880596,,,3399192.1018518517,22196866.625,,6271691.666666667,19112304.0,,,4823943.285714285,13927115.275,16302405.0,2778460.0,5654398.0,3778488.0,2338647.0,11499891.333333334,1985335.7417218543,8536515.904534606,10005599.049180327,11847369.0,16354488.0,1972929.6,11141209.5,,7518962.444444444,8826251.0,4489437.25,,1857070.0,7046017.5,,10804548.5,1934917.3333333333,2417875.0,3878337.5,2391508.0,47756124.0,3572605.9166666665,,2217329.5454545454,6946040.0,4370695.444444444,4988124.236842105,873978.8333333334,,13722292.214285715,,2073743.0,,10073334.0,,10227834.242424242,,,23136475.0,1709229.6666666667,1781457.0,,,1336591.6307692307
2018,3460842.0,913111.5,,24589404.363636363,,639831488.0,34000855.0,122105880.0,1821148.1666666667,11115479.0,1393305.0,3133563.3333333335,4655157.333333333,6768585.75,26327.0,,128527161.22222222,11664594.130434783,,,2953692.8780487804,20428325.3,,6055555.0,19167163.0,,1297399.0,5320394.0,13798868.027027028,17101546.94,2041877.0,4871268.0,3681178.0,4812741.0,12038495.75,1590796.4833333334,8199364.584134615,9199152.090909092,11943861.0,13023433.846153846,1884803.6,10348290.833333334,3763557.5,5541468.521739131,11757941.0,3688757.6,,4670492.0,6761716.75,,8252619.2,2567218.0,2371960.0,7313553.333333333,1373433.0,47901700.0,2993889.625,,2183826.1818181816,3887185.0,4699757.0,4390474.444444444,850142.5641025641,,10167669.384615384,,2204413.777777778,,8117270.0,,10853028.290322581,11891166.666666666,,27881504.0,2375747.6666666665,2044483.3333333333,,,1296015.76
2019,2973419.5,668934.0,,22405967.583333332,,74471992.0,32235212.0,33303298.0,2003566.3095238095,9640195.5,1468234.0,2439517.0,4415101.666666667,6821210.0,,,126513383.55555555,13199971.319444444,,,3160381.871212121,15538174.545454545,,6227305.0,19278081.5,,1759533.0,4012308.8,160827974.5,18512983.818181816,2151607.0,,6049984.5,4692758.0,13360024.42857143,1764084.03875969,8309648.264150944,8937067.173076924,418634.0,13519448.384615384,1886872.8,3991278.6,3999901.0,5481603.739130435,9015927.0,3912486.6,,4382279.333333333,7086044.5,4637965.0,11452130.1875,5727718.4,2484250.0,6586478.333333333,1255217.0,49888196.0,4179546.4,,2198291.3,3052767.6666666665,7344958.375,3979460.129032258,1074989.0487804879,,11542757.529411765,,2122622.090909091,,6353477.333333333,,10641137.838709677,15446397.0,,2972353.5,2035810.6666666667,1972947.3333333333,,,1331431.6949152541
2020,2548179.5,723916.0,,19463847.307692308,715557.0,46462620.0,33685335.0,59052672.0,9042309.613636363,10175773.0,985505.0,2907654.0,4181421.0,5099753.4,833920.0,,141766797.5,8600855.657534247,,,2745964.1751824818,17054346.111111112,,5733590.0,,,1597203.0,3392802.909090909,154161499.83333334,16964802.318965517,1842480.0,,2830014.0,,10677302.25,1664692.3043478262,7392165.672055427,8944456.8,1273011.0,9165313.3125,1578229.0,1934076.8333333333,4745214.5,4028250.5454545454,4439879.0,3700968.8,,4528192.333333333,7151056.333333333,4535805.0,9573714.833333334,3800780.4,1713339.0,5367400.333333333,1220794.0,48006552.0,3387774.0,,2205328.8181818184,2895690.3333333335,4546395.625,3217571.328125,993502.9318181818,,9356633.9,,2004492.7,,4960830.6,,13194404.638888888,12996716.25,,2514062.0,1978979.0,1842861.1666666667,,7743497.0,1129486.2258064516
2021,2561200.6666666665,602052.0,,13718253.0,,54539952.0,31366448.666666668,59785738.666666664,1581541.0303030303,196270.0,1011794.0,3043150.0,4044581.3333333335,4185323.0,1130698.0,,137461809.0,10073144.417910447,1013531.0,,3799632.1142857145,30088118.466666665,,5403238.0,,,1568403.0,4552811.333333333,10541885.333333334,16986586.0,1972150.0,3819907.0,2597355.0,,7930017.25,1783823.976923077,7382354.8014184395,4506952.763157895,1327274.0,4102583.8,1539056.6,2108202.3333333335,1494165.0,4847826.047619048,4463628.0,18939980.666666668,5093770.0,5010062.666666667,22145426.5,4319825.0,7897393.785714285,5639903.285714285,,4984110.333333333,1322836.0,46077788.0,5361988.153846154,,2313284.5,1387280.5,7036973.75,3444576.5098039214,1009436.8285714285,,11551190.5,,1800933.2222222222,59420744.0,4054296.5555555555,,9458925.677419355,10027188.75,,8231532.0,2294116.5,5326223.25,,5664127.0,1325232.105263158
2022,2597399.3333333335,565952.0,,15910009.5,567803.0,69657584.0,32142626.0,61640593.333333336,1610896.4074074074,8511100.0,1084920.0,2166619.0,4150088.3333333335,2970635.4,1051749.0,,120945830.0,12293886.4,,112021592.0,3858778.1470588236,34883120.9375,,5578998.0,,,1946032.0,3827400.5384615385,13525553.6875,20376955.102040816,2285617.0,4213870.0,2557454.5,,10181145.75,1653884.0093457943,8309345.416058394,4337932.971428571,1266998.0,10231309.857142856,2484376.0,2123602.6666666665,1710069.0,6025395.863636363,6109118.0,28882840.25,5027091.0,4272325.75,21861538.0,5022968.0,10096645.857142856,7401975.333333333,,8671447.75,1135443.0,48712712.0,6060663.0,,2503128.714285714,56573113.0,7740813.428571428,3359993.2653061226,1013833.3529411765,,12547799.666666666,,2048209.0,70835984.0,4135023.714285714,,9784457.212121213,11446845.333333334,,8732181.5,2116066.0,4955912.923076923,,5740879.5,1382173.923076923
2023,2527285.0,614240.0,3619454.0,20250244.0625,487885.0,61163428.0,31207954.5,112538114.0,1918274.5277777778,8815686.0,1121465.0,2049342.5,4150418.3333333335,3500549.5,1111265.0,,117392658.22222222,10947036.623376623,2219868.0,101980008.0,3359500.159722222,28699348.47826087,,5711241.666666667,,,1306232.0,3091364.714285714,12053751.58974359,17444631.0,2150379.0,4037523.0,2404402.0,1264919.0,9936300.125,1667512.8370370371,7802790.1180400895,68035549.62162162,1028400.0,10463654.272727273,1710461.1666666667,1831183.25,1846943.0,5795819.2272727275,4328133.0,46866913.6,4845733.0,4336615.5,19084018.5,4215596.0,9862290.444444444,5388693.428571428,,8481556.75,1717569.5,47522640.0,5410449.076923077,,2397571.0,3626461.0,6021704.777777778,3406900.8596491227,969803.6829268293,,9697830.133333333,,2230540.111111111,66637816.0,4946013.5,,9396219.272727273,8848182.833333334,,8811544.5,2726584.4,4209968.4,,7336901.0,1306907.9137931035
2024,2590244.0,554123.0,3053870.0,23274935.285714287,540966.0,70519520.0,31144343.0,111594511.0,2004947.1944444445,6428348.0,1111681.0,2136686.5,4293133.333333333,27756009.5,1011074.0,,107735591.44444445,10555455.8125,17382458.5,95043792.0,3130755.9788732394,28573912.56521739,,7657226.5,,,729894.0,3401061.0,9694790.65,16836100.954545453,2040649.0,,2962812.5,1188526.0,8790936.0,1530776.7163120566,7112083.117647059,7971213.317073171,1299756.0,9953574.083333334,1645639.0,1807280.25,1688208.5,5439091.19047619,4855788.0,48302775.75,,4464093.75,18935073.2,4023860.0,9733733.125,5695243.142857143,5974174.0,8159920.5,1730290.0,39738460.0,4316333.363636363,,2130500.727272727,3317690.0,6445045.125,3740698.3584905663,929291.0697674418,,10909574.833333334,,2425733.5714285714,61745560.0,4625121.2727272725,,9442980.3125,13287794.857142856,,4426417.2,2142804.8,4390148.214285715,,7261855.0,1178530.5081967213
